fecha,vacuna_fabricante,dosis,departamento,cantidad
2021-07-18,sinopharm,1ra_dosis,la paz,323708.0
2021-07-18,sinopharm,1ra_dosis,oruro,71440.0
2021-07-18,sinopharm,1ra_dosis,pando,13895.0
2021-07-18,sinopharm,1ra_dosis,potosi,72250.0
2021-07-18,sinopharm,1ra_dosis,santa cruz,412064.0
2021-07-18,sinopharm,1ra_dosis,tarija,125627.0
2021-07-18,sinopharm,2da_dosis,beni,25973.0
2021-07-18,sinopharm,2da_dosis,chuquisaca,41913.0
2021-07-18,sinopharm,2da_dosis,cochabamba,141183.0
2021-07-18,sinopharm,2da_dosis,la paz,175329.0
2021-07-18,sinopharm,2da_dosis,oruro,35563.0
2021-07-18,sinopharm,2da_dosis,pando,9058.0
2021-07-18,sinopharm,2da_dosis,potosi,38467.0
2021-07-18,sinopharm,2da_dosis,santa cruz,212609.0
2021-07-18,sinopharm,2da_dosis,tarija,50865.0
2021-07-18,sputnik-v,1ra_dosis,beni,19554.0
2021-07-18,sputnik-v,1ra_dosis,chuquisaca,54593.0
2021-07-18,sputnik-v,1ra_dosis,cochabamba,175770.0
2021-07-18,sputnik-v,1ra_dosis,la paz,219089.0
