,,,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,[sin dato],Femenino,Masculino,[sin dato],Femenino,Masculino,No puede determinarse,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,[sin dato],Femenino,Masculino,Femenino,Masculino,No puede determinarse,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,Femenino,Masculino,No puede determinarse,Femenino,Masculino
departamento,municipio,edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la.paz,copacabana,50-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
la.paz,copacabana,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
la.paz,coripata,50-59,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
la.paz,coro coro,>= 60,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
la.paz,coroico,>= 60,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
la.paz,desaguadero,50-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
la.paz,desaguadero,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
la.paz,el alto,0-19,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
la.paz,el alto,20-39,0,0,0,0,0,0,1,3,0,6,8,0,2,3,0,2,0,0,1,1,0,0,0,0,3,0,0,0,1,2,0,0,1,1,2,3,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0
la.paz,el alto,40-49,0,1,0,1,0,0,1,5,0,6,14,0,3,5,0,1,0,1,1,1,0,0,4,1,5,2,3,0,0,2,0,0,2,0,0,1,0,2,1,0,2,0,0,0,2,0,2,2,0,0,0,0
la.paz,el alto,50-59,0,0,0,3,0,3,1,11,0,15,48,0,5,9,0,0,2,3,3,2,1,0,2,3,8,4,4,2,6,0,1,0,3,6,0,3,0,1,0,0,3,2,4,0,2,4,0,1,2,0,0,0
la.paz,el alto,>= 60,0,2,0,3,2,5,18,27,0,41,109,0,17,47,0,4,15,3,12,5,0,8,15,9,16,7,9,4,6,0,7,0,3,6,4,6,0,1,5,1,3,3,0,5,5,2,4,6,4,0,0,0
la.paz,escoma,>= 60,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
la.paz,gral. j.j. perez  (charazani),>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
la.paz,guanay,>= 60,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
la.paz,guaqui,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
la.paz,huarina,>= 60,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
